,xcentre,ycentre,zcentre,cut_vulcan,cut_poz,f1
201,475121.38,7481864.18,1587.5,0.43799999999999994,0.329,2.0
202,475129.21,7481823.83,1587.5,1.53,2.85,2.0
203,475115.06,7481888.22,1587.5,0.33899999999999997,0.323,4.0
204,475120.81,7481816.18,1587.5,1.442,1.227,2.0
205,475128.81,7481816.09,1587.5,1.515,1.226,2.0
206,475080.82,7481816.65,1587.5,1.6869999999999998,1.421,2.0
207,475072.82,7481816.74,1587.5,1.82,1.544,2.0
208,475066.3,7481810.84,1587.5,1.831,0.554,3.0
209,475058.3,7481810.94,1587.5,0.848,1.454,3.0
210,475050.3,7481811.03,1587.5,0.8059999999999999,0.687,3.0
211,475088.82,7481816.56,1587.5,1.676,1.198,2.0
212,475057.01,7481832.93,1587.5,2.182,1.98,3.0
213,475049.01,7481833.02,1587.5,2.2569999999999997,1.638,3.0
214,475056.79,7481840.87,1587.5,2.315,2.906,3.0
215,475048.82,7481817.03,1587.5,0.8320000000000001,0.939,3.0
216,475057.21,7481824.67,1587.5,2.14,1.129,3.0
217,475089.0,7481832.56,1587.5,2.093,1.328,2.0
218,475081.0,7481832.65,1587.5,2.1919999999999997,1.236,2.0
219,475064.79,7481840.78,1587.5,2.484,2.928,3.0
220,475139.05,7481887.94,1587.5,0.434,0.42,4.0
221,475147.05,7481887.85,1587.5,1.453,0.502,3.0
222,475144.13,7481872.05,1587.5,1.6969999999999998,0.58,2.0
223,475136.13,7481872.14,1587.5,0.46299999999999997,0.525,3.0
224,475137.56,7481879.99,1587.5,0.45,0.417,3.0
225,475136.81,7481816.0,1587.5,1.5719999999999998,1.587,2.0
226,475136.05,7481856.04,1587.5,2.237,0.347,2.0
227,475137.21,7481823.73,1587.5,1.6669999999999998,2.218,2.0
228,475137.37,7481863.99,1587.5,0.503,0.442,2.0
229,475145.0,7481831.9,1587.5,1.7409999999999999,5.994,2.0
230,475137.0,7481831.99,1587.5,1.825,3.94,2.0
231,475144.05,7481855.95,1587.5,2.07,1.124,2.0
232,475081.19,7481848.65,1587.5,2.326,0.872,2.0
233,475073.19,7481848.74,1587.5,2.435,0.543,3.0
234,475072.05,7481856.79,1587.5,2.478,1.784,3.0
235,475064.05,7481856.88,1587.5,2.383,0.728,3.0
236,475088.05,7481856.6,1587.5,2.244,1.192,3.0
237,475089.38,7481864.55,1587.5,0.42,0.536,3.0
238,475081.38,7481864.65,1587.5,0.40299999999999997,1.802,3.0
239,475065.38,7481864.84,1587.5,0.568,0.4,3.0
240,475088.13,7481872.7,1587.5,0.379,0.553,3.0
241,475081.57,7481880.65,1587.5,0.363,0.747,3.0
242,475067.06,7481888.79,1587.5,0.48200000000000004,0.448,3.0
243,475048.14,7481873.17,1587.5,0.6,0.547,3.0
244,475057.19,7481848.93,1587.5,2.4419999999999997,2.112,3.0
245,475049.19,7481849.02,1587.5,2.545,2.425,3.0
246,475080.78,7481840.59,1587.5,2.156,1.012,2.0
247,475089.19,7481848.56,1587.5,2.175,2.236,2.0
248,475057.38,7481864.93,1587.5,0.596,0.5,3.0
249,475049.38,7481865.02,1587.5,0.632,0.655,3.0
250,475093.85,7481904.5,1587.5,0.738,0.411,4.0
251,475074.18,7481928.7,1587.5,1.348,0.884,4.0
252,475065.75,7481896.83,1587.5,0.483,0.75,3.0
253,475097.0,7481832.46,1587.5,1.7930000000000001,1.616,2.0
254,475096.82,7481816.46,1587.5,1.595,1.249,2.0
255,475083.06,7481888.6,1587.5,0.358,0.518,3.0
256,475094.08,7481920.47,1587.5,1.3840000000000001,0.381,4.0
257,475070.09,7481920.75,1587.5,1.41,0.753,4.0
258,475072.14,7481872.89,1587.5,0.392,0.519,3.0
259,475066.18,7481928.8,1587.5,1.25,1.058,4.0
260,475057.57,7481880.93,1587.5,0.5479999999999999,0.371,3.0
261,475059.06,7481888.88,1587.5,0.489,0.419,3.0
262,475075.06,7481888.69,1587.5,0.508,0.414,3.0
263,475090.18,7481928.51,1587.5,1.298,0.529,4.0
264,475073.38,7481864.74,1587.5,0.46299999999999997,0.411,3.0
265,475064.14,7481872.98,1587.5,0.465,0.472,3.0
266,475096.13,7481872.61,1587.5,0.385,0.393,3.0
267,475097.75,7481896.46,1587.5,0.353,0.349,4.0
268,475097.19,7481848.46,1587.5,2.088,1.954,2.0
269,475105.0,7481832.37,1587.5,1.6569999999999998,1.483,2.0
270,475101.85,7481904.41,1587.5,0.804,0.614,4.0
271,475105.38,7481864.37,1587.5,0.374,1.291,2.0
272,475104.78,7481840.31,1587.5,1.976,1.178,2.0
273,475207.846,7481692.097,1587.5,0.28,2.7,23.0
274,475161.041,7481692.503,1587.5,0.39299999999999996,2.51,23.0
275,475170.854,7481688.166,1587.5,0.316,2.54,23.0
276,475141.274,7481739.855,1587.5,0.5820000000000001,2.3,24.0
277,475121.054,7481702.543,1587.5,1.703,2.15,23.0
278,475208.976,7481681.457,1587.5,0.28300000000000003,1.13,23.0
279,475141.511,7481680.054,1587.5,2.27,1.18,23.0
280,475123.244,7481681.658,1587.5,2.255,1.03,23.0
281,475128.117,7481692.726,1587.5,2.177,1.0,23.0
282,475148.336,7481730.038,1587.5,0.578,1.15,24.0
283,475216.528,7481698.399,1587.5,0.272,0.55,23.0
284,475190.48,7481679.491,1587.5,0.305,0.44,23.0
285,475165.201,7481741.366,1587.5,0.5429999999999999,0.52,24.0
286,475166.331,7481730.726,1587.5,0.531,0.52,24.0
287,475213.136,7481730.32,1587.5,1.9780000000000002,0.33,24.0
288,475180.667,7481683.828,1587.5,0.312,0.42,23.0
289,475148.966,7481718.121,1587.5,1.9469999999999998,0.52,23.0
290,475178.406,7481705.109,1587.5,2.079,0.49,23.0
291,475137.131,7481721.825,1587.5,1.561,0.75,23.0
292,475205.584,7481713.377,1587.5,1.76,0.27,23.0
293,475145.654,7481698.084,1587.5,2.037,2.52,23.0
294,475169.723,7481698.806,1587.5,0.39899999999999997,2.6,23.0
295,475133.719,7481696.833,1587.5,2.176,1.81,23.0
296,475123.974,7481674.696,1587.5,2.207,1.18,23.0
297,475132.989,7481703.795,1587.5,1.9580000000000002,1.43,23.0
298,475121.784,7481695.581,1587.5,1.893,1.02,23.0
299,475144.924,7481705.046,1587.5,2.032,1.54,23.0
300,475147.606,7481737.0,1587.5,0.595,0.61,24.0
301,475142.734,7481725.932,1587.5,0.581,0.64,23.0
302,475140.781,7481687.016,1587.5,2.271,1.09,23.0
303,475135.179,7481682.909,1587.5,2.299,0.88,23.0
304,475215.398,7481709.04,1587.5,1.5930000000000002,0.34,23.0
305,475193.51,7481738.994,1587.5,0.523,0.39,24.0
306,475149.066,7481723.076,1587.5,0.573,0.76,23.0
307,475126.657,7481706.65,1587.5,1.8030000000000002,0.73,23.0
308,475134.941,7481742.71,1587.5,0.977,2.06,24.0
309,475124.467,7481727.535,1587.5,1.315,2.56,23.0
310,475123.737,7481734.497,1587.5,1.158,1.86,24.0
311,475146.876,7481743.962,1587.5,0.633,0.69,24.0
312,475077.097,7481840.696,1602.5,2.097,2.5,1.0
313,475021.289,7481857.35,1602.5,1.126,1.61,1.0
314,475037.1,7481841.164,1602.5,1.15,1.66,1.0
315,475100.908,7481824.416,1602.5,1.253,1.52,1.0
316,474997.29,7481857.631,1602.5,0.86,0.62,1.0
317,475016.821,7481817.4,1602.5,0.457,0.44,1.0
318,475093.096,7481840.509,1602.5,1.817,1.373,1.0
319,475081.191,7481848.649,1602.5,2.545,1.265,1.0
320,475097.19,7481848.461,1602.5,1.9809999999999999,1.453,1.0
321,475089.19,7481848.555,1602.5,2.031,1.505,1.0
322,475088.816,7481816.557,1602.5,1.3090000000000002,1.9,1.0
323,475069.098,7481840.79,1602.5,2.112,2.89,1.0
324,475060.911,7481824.884,1602.5,2.131,1.53,1.0
325,475104.815,7481816.37,1602.5,1.203,2.55,1.0
326,475113.189,7481848.274,1602.5,1.972,2.48,1.0
327,475132.906,7481824.042,1602.5,1.462,2.41,1.0
328,475105.189,7481848.368,1602.5,2.004,2.3,1.0
329,475121.001,7481832.181,1602.5,1.626,1.96,1.0
330,475113.001,7481832.275,1602.5,1.515,1.24,1.0
331,475049.006,7481833.024,1602.5,2.349,1.68,1.0
332,475057.005,7481832.931,1602.5,2.24,1.11,1.0
333,474991.244,7481871.042,1602.5,0.797,0.88,1.0
334,474984.849,7481850.841,1602.5,0.8859999999999999,0.92,1.0
335,474984.217,7481871.831,1602.5,0.725,1.31,1.0
336,474991.725,7481855.049,1602.5,0.887,1.18,1.0
337,474991.484,7481863.046,1602.5,0.889,0.99,1.0
338,474992.448,7481831.06,1602.5,0.892,0.65,1.0
339,474984.427,7481864.834,1602.5,0.847,1.42,1.0
340,474985.27,7481836.847,1602.5,0.885,0.72,1.0
341,474985.06,7481843.844,1602.5,0.885,0.71,1.0
342,475009.383,7481865.49,1602.5,0.938,0.93,1.0
343,475005.102,7481841.539,1602.5,1.038,0.74,1.0
344,475008.821,7481817.493,1602.5,0.46299999999999997,0.57,1.0
345,475004.915,7481825.54,1602.5,0.467,0.64,1.0
346,475013.102,7481841.445,1602.5,1.109,0.59,1.0
347,475013.289,7481857.444,1602.5,1.0290000000000001,1.11,1.0
348,475009.196,7481849.491,1602.5,1.0490000000000002,0.68,1.0
349,475001.196,7481849.585,1602.5,0.907,0.97,1.0
350,475063.554,7481502.959,1587.5,0.81,5.68,25.0
351,475059.412,7481484.929,1587.5,2.207,2.24,25.0
352,475037.495,7481521.341,1587.5,2.37,0.98,25.0
353,475077.969,7481506.132,1587.5,1.297,1.13,25.0
354,475039.685,7481500.456,1587.5,2.549,0.92,25.0
355,475108.54,7481482.48,1587.5,0.561,0.87,26.0
356,475085.521,7481523.075,1587.5,1.244,0.73,25.0
357,475124.774,7481505.725,1587.5,0.433,0.62,25.0
358,475107.409,7481493.12,1587.5,0.722,0.37,25.0
359,475097.596,7481497.457,1587.5,0.628,0.36,25.0
360,475127.035,7481484.445,1587.5,0.39799999999999996,0.44,26.0
361,475096.465,7481508.097,1587.5,0.653,0.45,25.0
362,475113.83,7481520.703,1587.5,0.44,0.43,25.0
363,475106.278,7481503.76,1587.5,0.597,0.29,25.0
364,475073.299,7481525.096,1587.5,1.871,4.483,25.0
365,475048.7,7481529.555,1587.5,2.039,2.376,25.0
366,475017.768,7481536.869,1587.5,2.065,2.493,25.0
367,475042.367,7481532.41,1587.5,2.15,2.446,25.0
368,475078.289,7481527.735,1587.5,1.8030000000000002,2.408,25.0
369,475029.703,7481538.12,1587.5,2.1319999999999997,1.627,25.0
370,475036.035,7481535.265,1587.5,2.12,0.989,25.0
371,475066.967,7481527.951,1587.5,1.8940000000000001,2.238,25.0
372,475038.225,7481514.38,1587.5,2.342,0.891,25.0
373,475055.032,7481526.7,1587.5,2.122,2.599,25.0
374,475061.364,7481523.844,1587.5,1.955,2.448,25.0
375,475038.955,7481507.418,1587.5,2.41,4.114,25.0
376,475024.831,7481527.052,1587.5,2.032,1.637,25.0
377,475025.561,7481520.09,1587.5,2.12,1.387,25.0
378,475062.094,7481516.882,1587.5,1.3430000000000002,1.254,25.0
379,475043.097,7481525.448,1587.5,2.104,2.83,25.0
380,475051.62,7481501.707,1587.5,1.818,1.551,25.0
381,475052.35,7481494.746,1587.5,2.1919999999999997,2.423,25.0
382,475125.905,7481495.085,1587.5,0.408,0.375,25.0
383,475135.718,7481490.748,1587.5,0.42200000000000004,0.455,26.0
384,475061.735,7481482.886,1587.5,2.226,1.051,25.0
385,475087.782,7481501.794,1587.5,0.7120000000000001,0.67,25.0
386,475105.148,7481514.4,1587.5,0.667,0.346,25.0
387,475161.403,7481601.08,1587.5,1.483,5.09,22.0
388,475182.16,7481581.765,1587.5,1.185,3.11,22.0
389,475142.907,7481599.114,1587.5,1.774,3.05,23.0
390,475179.899,7481603.045,1587.5,1.07,1.25,22.0
391,475145.169,7481577.834,1587.5,1.4509999999999998,1.46,22.0
392,475199.526,7481594.37,1587.5,1.022,1.03,22.0
393,475249.723,7481562.044,1587.5,1.212,1.04,22.0
394,475215.76,7481617.616,1587.5,1.244,1.02,23.0
395,475178.768,7481613.685,1587.5,1.084,1.0,22.0
396,475220.283,7481575.056,1587.5,1.508,0.85,22.0
