midx,midy,midz,cut_real,cut_est,ugcut,f1
474625.654,7479437.831,1617.500, 0.081, 0.105,10,6
474592.480,7479461.400,1632.500, 0.191, 0.089,10,4
474598.699,7479436.783,1617.500, 0.060, 0.113,10,7
474614.450,7479454.498,1602.500, 0.341, 0.163,10,8
474598.880,7479452.790,1632.500, 0.110, 0.092,10,4
474596.750,7479471.220,1632.500, 0.162, 0.086,10,4
474603.150,7479462.600,1632.500, 0.341, 0.090,10,4
474615.944,7479445.381,1632.500, 0.045, 0.072,10,4
474602.350,7479453.837,1617.500, 0.176, 0.121,10,7
474607.410,7479472.420,1632.500, 0.076, 0.084,10,4
474613.254,7479458.013,1617.500, 0.184, 0.129,10,7
474655.731,7479458.980,1617.500, 0.471, 0.079,10,6
474662.115,7479442.579,1617.500, 0.134, 0.067,10,6
474644.665,7479445.230,1617.500, 0.121, 0.095,10,6
474641.406,7479455.546,1602.500, 0.300, 0.184,10,9
474637.256,7479447.795,1632.500, 0.039, 0.052,10,4
474652.177,7479458.815,1632.500, 0.101, 0.063,10,4
474657.000,7479445.000,1602.500, 0.201, 0.091,10,9
474654.318,7479440.389,1632.500, 0.100, 0.110,10,4
474659.000,7479454.000,1602.500, 0.220, 0.146,10,9
474651.000,7479435.000,1602.500, 0.179, 0.132,10,9
474679.565,7479439.927,1617.500, 0.096, 0.086,10,6
474685.265,7479441.291,1617.500, 0.087, 0.088,10,6
474703.224,7479442.582,1632.500, 0.061, 0.108,10,5
474709.922,7479435.249,1632.500, 0.082, 0.104,10,5
474694.822,7479463.634,1632.500, 0.105, 0.100,10,5
474696.963,7479445.209,1632.500, 0.136, 0.098,10,5
474692.526,7479439.349,1602.500, 0.551, 0.130,10,10
474688.692,7479467.243,1617.500, 0.043, 0.091,10,6
474679.901,7479452.614,1632.500, 0.090, 0.099,10,4
474682.645,7479460.307,1617.500, 0.081, 0.091,10,6
474675.640,7479442.799,1632.500, 0.129, 0.103,10,4
474719.907,7479437.488,1632.500, 0.060, 0.094,10,5
474500.779,7479507.054,1632.500, 1.250, 0.285,10,4
474507.179,7479498.442,1632.500, 0.541, 0.192,10,4
474524.240,7479491.034,1632.500, 0.999, 0.180,10,4
474530.640,7479482.420,1632.500, 0.609, 0.145,10,4
474517.840,7479499.645,1632.500, 0.318, 0.271,10,4
474537.869,7479502.569,1632.500, 0.140, 0.236,10,4
474543.425,7479511.866,1632.500, 0.290, 0.249,10,4
