x,y,z,grade,f1
473663.073000,7479153.072000,1632.500000,0.529120,-99
473665.051000,7479139.212000,1632.500000,0.615602,-99
473667.028000,7479125.352000,1632.500000,0.712143,-99
473670.486000,7479111.844000,1632.500000,0.756415,-99
473685.546000,7479176.805000,1632.500000,0.415753,-99
473670.199000,7479152.690000,1632.500000,0.549016,-99
473674.821000,7479120.933000,1632.500000,0.707742,-99
473681.021000,7479142.683000,1632.500000,0.585619,-99
473691.592000,7479134.434000,1632.500000,0.594186,-99
473667.556000,7479238.035000,1632.500000,0.460928,-99
473647.371000,7479480.774000,1632.500000,0.380039,-99
473657.000000,7479514.000000,1632.500000,0.387571,-99
473660.000000,7479536.000000,1632.500000,0.407714,-99
473663.000000,7479557.000000,1632.500000,0.413663,-99
473669.000000,7479599.000000,1632.500000,0.428225,-99
473676.000000,7479517.000000,1632.500000,0.384127,-99
473683.000000,7479560.000000,1632.500000,0.415433,-99
473686.000000,7479581.000000,1632.500000,0.414294,-99
473688.000000,7479602.000000,1632.500000,0.397046,-99
473691.000000,7479623.000000,1632.500000,0.396534,-99
473705.000000,7479586.000000,1632.500000,0.382616,-99
473708.000000,7479606.000000,1632.500000,0.374741,-99
473706.404000,7479668.494000,1632.500000,0.363488,-99
473718.989000,7479671.540000,1632.500000,0.346695,-99
473738.954000,7479671.126000,1632.500000,0.336574,-99
473683.123000,7479578.969000,1647.500000,0.446480,-99
473709.588000,7479560.803000,1647.500000,0.447411,-99
473689.445000,7479540.911000,1647.500000,0.460296,-99
473737.720000,7479563.972000,1647.500000,0.402901,-99
473678.123000,7479514.964000,1647.500000,0.400658,-99
473874.041000,7479804.617000,1647.500000,-99.000000,-99
473894.890000,7479809.449000,1647.500000,-99.000000,-99
473898.009000,7479819.684000,1647.500000,-99.000000,-99
473902.554000,7479950.752000,1647.500000,-99.000000,42
473919.581000,7479941.102000,1647.500000,-99.000000,42
473919.425000,7479960.673000,1647.500000,-99.000000,42
473902.397000,7479970.324000,1647.500000,-99.000000,42
473963.999000,7480039.320000,1647.500000,-99.000000,41
473975.299000,7480039.410000,1647.500000,-99.000000,41
